time,open,high,low,close,"AU07Y-NZ07Y, TVC: Open","AU07Y-NZ07Y, TVC: High","AU07Y-NZ07Y, TVC: Low","AU07Y-NZ07Y, TVC: Close","AU01Y-NZ01Y, TVC: Open","AU01Y-NZ01Y, TVC: High","AU01Y-NZ01Y, TVC: Low","AU01Y-NZ01Y, TVC: Close","AU05Y-NZ05Y, TVC: Open","AU05Y-NZ05Y, TVC: High","AU05Y-NZ05Y, TVC: Low","AU05Y-NZ05Y, TVC: Close","AU02Y-NZ02Y, TVC: Open","AU02Y-NZ02Y, TVC: High","AU02Y-NZ02Y, TVC: Low","AU02Y-NZ02Y, TVC: Close","AU10Y-NZ10Y, TVC: Open","AU10Y-NZ10Y, TVC: High","AU10Y-NZ10Y, TVC: Low","AU10Y-NZ10Y, TVC: Close",MA,Smoothing Line,Volume,Volume MA,Basic EPS,EPS estimates,Average basic shares outstanding,Diluted shares outstanding
1996-03-05T22:00:00Z,1.1261,1.1319,1.1251,1.1314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1219219999999992,1.1244609999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-06T22:00:00Z,1.132,1.1356,1.1298,1.1349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1217899999999992,1.1241285999999937,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-07T22:00:00Z,1.135,1.1383,1.1323,1.1366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.121739999999999,1.1238164999999938,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-10T22:00:00Z,1.1342,1.1349,1.1285,1.1319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1216599999999992,1.1235161999999939,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-11T22:00:00Z,1.1319,1.1319,1.1258,1.1269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.121421999999999,1.1232210999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-12T22:00:00Z,1.1314,1.1346,1.1301,1.1345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1212659999999992,1.1229392999999939,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-13T22:00:00Z,1.1351,1.1356,1.12,1.1238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.121147999999999,1.1226764999999939,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-14T22:00:00Z,1.1246,1.1347,1.1231,1.1342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.121089999999999,1.122440499999994,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-17T22:00:00Z,1.1318,1.1373,1.1315,1.1341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.121087999999999,1.1222401999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-18T22:00:00Z,1.1343,1.1375,1.133,1.1354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.121205999999999,1.1220735999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-19T22:00:00Z,1.1341,1.136,1.1249,1.1317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1211319999999991,1.1219268999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-20T22:00:00Z,1.1325,1.1346,1.1269,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1212479999999991,1.1218134999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-21T22:00:00Z,1.1322,1.1348,1.1297,1.1305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1214119999999992,1.1217415999999938,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-24T22:00:00Z,1.1303,1.1305,1.1245,1.1273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1215579999999992,1.121686399999994,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-25T22:00:00Z,1.1275,1.133,1.1272,1.1328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.121743999999999,1.1216507999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-26T22:00:00Z,1.1319,1.1406,1.1319,1.1406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1221599999999992,1.1216338999999937,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-27T22:00:00Z,1.141,1.1562,1.1386,1.1514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.122867999999999,1.1216533999999938,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-28T22:00:00Z,1.1517,1.1527,1.1453,1.1486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.123713999999999,1.1217202999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-31T22:00:00Z,1.1466,1.1507,1.142,1.1442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.124493999999999,1.1218338999999937,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-01T22:00:00Z,1.1437,1.1473,1.142,1.1459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1251539999999989,1.1219907999999934,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-02T22:00:00Z,1.1459,1.1496,1.1435,1.1458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.125865999999999,1.1221879999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-03T22:00:00Z,1.1463,1.1503,1.1454,1.1467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.126701999999999,1.1224335999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-04T22:00:00Z,1.1461,1.1484,1.1458,1.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.127513999999999,1.1227222999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-07T21:00:00Z,1.1479,1.1513,1.145,1.1513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1283459999999992,1.1230565999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-08T21:00:00Z,1.1505,1.154,1.1463,1.1501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.129081999999999,1.1234395999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-09T21:00:00Z,1.1508,1.159,1.1507,1.1572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.130017999999999,1.1238771999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-10T21:00:00Z,1.1572,1.1693,1.1563,1.1683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.131271999999999,1.1243833999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-11T21:00:00Z,1.1683,1.1707,1.1627,1.1656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.132193999999999,1.1249385999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-14T21:00:00Z,1.1682,1.1699,1.1625,1.1647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.133167999999999,1.1255425999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-15T21:00:00Z,1.1642,1.1661,1.1571,1.1574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.133969999999999,1.1261807999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-16T21:00:00Z,1.1574,1.1576,1.1508,1.1541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1346979999999989,1.1268590999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-17T21:00:00Z,1.1539,1.1543,1.1409,1.1437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.135071999999999,1.1275502999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-18T21:00:00Z,1.1436,1.147,1.1383,1.1404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.135495999999999,1.1282544999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-21T21:00:00Z,1.14,1.1482,1.14,1.1465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.135969999999999,1.1289750999999935,NaN,NaN,NaN,NaN,NaN,NaN
1996-04-22T21:00:00Z,1.1473,1.1593,1.147,1.1554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.136671999999999,1.1297214999999936,NaN,NaN,NaN,NaN,NaN,NaN
