,asofdate,pnl,strategy,positionType
4650,1989-06-23 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4655,1989-06-30 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4660,1989-07-10 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4665,1989-07-17 00:00:00+00:00,12.25,arma_threshold_ma,short
4670,1989-07-24 00:00:00+00:00,12.25,arma_threshold_ma,short
4675,1989-07-31 00:00:00+00:00,11.5,arma_threshold_ma,short
4680,1989-08-07 00:00:00+00:00,8.25,arma_threshold_ma,short
4685,1989-08-14 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4690,1989-08-21 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4695,1989-08-28 00:00:00+00:00,-7.0,arma_threshold_ma,short
4700,1989-09-05 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4705,1989-09-12 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4710,1989-09-19 00:00:00+00:00,-2.75,arma_threshold_ma,short
4715,1989-09-26 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4720,1989-10-03 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4725,1989-10-10 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4730,1989-10-17 00:00:00+00:00,-7.25,arma_threshold_ma,long
4735,1989-10-24 00:00:00+00:00,5.5,arma_threshold_ma,long
4740,1989-10-31 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4745,1989-11-07 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4750,1989-11-14 01:00:00+00:00,0.5,arma_threshold_ma,long
4755,1989-11-21 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4760,1989-11-29 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4765,1989-12-06 01:00:00+00:00,-3.25,arma_threshold_ma,long
4770,1989-12-13 01:00:00+00:00,6.25,arma_threshold_ma,long
4775,1989-12-20 01:00:00+00:00,0.0,arma_threshold_ma,long
4780,1989-12-28 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4785,1990-01-05 01:00:00+00:00,1.5,arma_threshold_ma,long
4790,1990-01-12 01:00:00+00:00,2.25,arma_threshold_ma,short
4795,1990-01-19 01:00:00+00:00,4.5,arma_threshold_ma,long
4800,1990-01-26 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4805,1990-02-02 01:00:00+00:00,3.5,arma_threshold_ma,short
4810,1990-02-09 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4815,1990-02-16 01:00:00+00:00,2.75,arma_threshold_ma,long
4820,1990-02-26 01:00:00+00:00,1.75,arma_threshold_ma,long
4825,1990-03-05 01:00:00+00:00,4.75,arma_threshold_ma,long
4830,1990-03-12 01:00:00+00:00,-1.25,arma_threshold_ma,long
4835,1990-03-19 01:00:00+00:00,9.0,arma_threshold_ma,long
4840,1990-03-26 01:00:00+00:00,3.25,arma_threshold_ma,long
4845,1990-04-02 00:00:00+00:00,3.75,arma_threshold_ma,long
4850,1990-04-09 00:00:00+00:00,2.75,arma_threshold_ma,long
4855,1990-04-17 00:00:00+00:00,6.0,arma_threshold_ma,long
4860,1990-04-24 00:00:00+00:00,4.5,arma_threshold_ma,long
4865,1990-05-01 00:00:00+00:00,2.0,arma_threshold_ma,long
4870,1990-05-08 00:00:00+00:00,7.75,arma_threshold_ma,long
4875,1990-05-15 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4880,1990-05-22 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4885,1990-05-30 00:00:00+00:00,-10.0,arma_threshold_ma,long
4890,1990-06-06 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4895,1990-06-13 00:00:00+00:00,0.25,arma_threshold_ma,long
4900,1990-06-20 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4905,1990-06-27 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4910,1990-07-05 00:00:00+00:00,1.75,arma_threshold_ma,long
4915,1990-07-12 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4920,1990-07-19 00:00:00+00:00,16.25,arma_threshold_ma,short
4925,1990-07-26 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4930,1990-08-02 00:00:00+00:00,-2.75,arma_threshold_ma,short
4935,1990-08-09 00:00:00+00:00,10.75,arma_threshold_ma,short
4940,1990-08-16 00:00:00+00:00,2.5,arma_threshold_ma,short
4945,1990-08-23 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4950,1990-08-30 00:00:00+00:00,-10.0,arma_threshold_ma,short
4955,1990-09-07 00:00:00+00:00,13.75,arma_threshold_ma,short
4960,1990-09-14 00:00:00+00:00,11.25,arma_threshold_ma,short
