asofdate,pnl,pointForecast,forecastday,product_name
2013-02-20 22:46:00+00:00,10.5,1517.7580656051132,5,SPY
2013-03-06 22:46:00+00:00,12.25,1513.7992703987777,5,SPY
2013-03-13 21:46:00+00:00,29.5,1543.14775235416,5,SPY
2013-03-20 21:46:00+00:00,13.25,1556.345790974817,5,SPY
2013-04-04 21:46:00+00:00,23.75,1562.0691604754488,5,SPY
2013-04-18 21:46:00+00:00,36.0,1582.9311432376,5,SPY
2013-05-02 21:46:00+00:00,29.0,1577.3482163355236,5,SPY
2013-05-09 21:46:00+00:00,32.0,1608.8060652076144,5,SPY
2013-05-16 21:46:00+00:00,21.0,1630.6912207613846,5,SPY
2013-05-23 21:46:00+00:00,33.5,1663.5676542927158,5,SPY
2013-06-16 21:46:00+00:00,5.75,1643.3707677705115,5,SPY
2013-07-08 21:46:00+00:00,40.5,1608.0096724614916,5,SPY
2013-07-15 21:46:00+00:00,38.75,1646.0628986840347,5,SPY
2013-07-22 21:46:00+00:00,25.75,1671.9058817230164,5,SPY
2013-07-29 21:46:00+00:00,17.0,1689.397155185891,5,SPY
2013-08-12 21:46:00+00:00,9.25,1695.410549101989,5,SPY
2013-09-17 21:46:00+00:00,35.25,1690.2107746708266,5,SPY
2013-09-24 21:46:00+00:00,29.0,1718.491873157256,5,SPY
2013-10-15 21:46:00+00:00,34.25,1649.9114120350462,5,SPY
2013-10-22 21:46:00+00:00,64.5,1715.4036351161042,5,SPY
2013-10-29 21:46:00+00:00,28.5,1743.3649651596684,5,SPY
2013-11-05 22:46:00+00:00,18.75,1761.9064503967857,5,SPY
2013-11-12 22:46:00+00:00,5.0,1766.9102679332354,5,SPY
2013-11-19 22:46:00+00:00,13.25,1779.7658851355302,5,SPY
2013-11-26 22:46:00+00:00,1.0,1781.4645146612645,5,SPY
2013-12-04 22:46:00+00:00,24.5,1805.13193590004,5,SPY
2013-12-26 22:46:00+00:00,27.0,1803.645476786504,5,SPY
2014-01-05 22:46:00+00:00,34.5,1838.4055457474524,5,SPY
2014-01-27 22:46:00+00:00,23.5,1840.0816432195172,5,SPY
2014-02-10 22:46:00+00:00,44.5,1744.8179043597936,5,SPY
2014-02-25 22:46:00+00:00,12.0,1826.797662930984,5,SPY
2014-03-04 22:46:00+00:00,16.5,1843.122476375032,5,SPY
2014-03-11 21:46:00+00:00,30.5,1875.080766807844,5,SPY
2014-04-08 21:46:00+00:00,40.5,1884.4898981706287,5,SPY
2014-04-30 21:46:00+00:00,20.25,1874.2962291115116,5,SPY
2014-05-07 21:46:00+00:00,4.75,1879.661130404934,5,SPY
2014-06-05 21:46:00+00:00,31.25,1922.6368353174216,5,SPY
2014-06-12 21:46:00+00:00,27.75,1950.6752947585064,5,SPY
2014-06-26 21:46:00+00:00,25.0,1954.885383265308,5,SPY
2014-07-13 21:46:00+00:00,19.0,1971.4588107676436,5,SPY
2014-08-03 21:46:00+00:00,6.75,1974.2455152296232,5,SPY
2014-08-17 21:46:00+00:00,0.5,1933.5190662728628,5,SPY
2014-08-24 21:46:00+00:00,35.0,1968.9035879422468,5,SPY
2014-09-01 21:46:00+00:00,27.5,1996.2431184881812,5,SPY
2014-09-08 21:46:00+00:00,4.75,2001.2687951905752,5,SPY
2014-09-22 21:46:00+00:00,1.75,1993.4364945543468,5,SPY
2014-10-13 21:46:00+00:00,37.5,1929.1868303182143,5,SPY
