,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name
210,2020-02-25 14:30:00+00:00,-1527.2721400279925,-1506.0955655029238,-1518.7511251753122,0.008121112946935965,0.00013023450912643707,5,True,252,1800,2,0,0 days 00:00:00.596502,DAX
211,2020-03-03 14:30:00+00:00,-1524.3814883899295,-1503.2049138648608,-1515.8604735372492,0.008211099703819247,0.00013175856087577326,5,True,252,1800,2,0,0 days 00:00:00.250217,DAX
212,2020-03-10 13:30:00+00:00,-1463.0167113391221,-1441.8401368140535,-1454.4956964864418,0.008713738448961592,0.000168064121189594,5,True,252,1800,2,0,0 days 00:00:00.691159,DAX
213,2020-03-17 13:30:00+00:00,-1364.9457086689729,-1343.7691341439042,-1356.4246938162926,0.010094337981422863,0.0002484159443653129,5,True,252,1800,2,0,0 days 00:00:01.054322,DAX
214,2020-03-24 13:30:00+00:00,-1324.349681175896,-1303.1731066508273,-1315.8286663232157,0.010576095563816695,0.00029095485765174537,5,True,252,1800,2,0,0 days 00:00:01.018559,DAX
215,2020-03-31 13:30:00+00:00,-1311.5162817707692,-1290.3397072457005,-1302.9952669180889,0.010742165292540703,0.0003063473589151434,5,True,252,1800,2,0,0 days 00:00:01.290555,DAX
216,2020-04-07 13:30:00+00:00,-1289.3302692313327,-1268.153694706264,-1280.8092543786524,0.011238867175451707,0.0003346179315866566,5,True,252,1800,2,0,0 days 00:00:00.867936,DAX
217,2020-04-15 13:30:00+00:00,-1282.9090111507671,-1261.7324366256985,-1274.3879962980868,0.011425189867228853,0.0003432017663529271,5,True,252,1800,2,0,0 days 00:00:00.842453,DAX
218,2020-04-22 13:30:00+00:00,-1275.4157186801326,-1254.239144155064,-1266.8947038274523,0.011784204213672616,0.00035321992499022596,5,True,252,1800,2,0,0 days 00:00:00.771465,DAX
219,2020-04-29 13:30:00+00:00,-1269.7484299652267,-1248.571855440158,-1261.2274151125464,0.01194756695678504,0.0003612978010497571,5,True,252,1800,2,0,0 days 00:00:00.646930,DAX
220,2020-05-06 13:30:00+00:00,-1264.6045661915775,-1243.427991666509,-1256.0835513388972,0.012118938940881823,0.0003688246782297772,5,True,252,1800,2,0,0 days 00:00:00.699336,DAX
221,2020-05-13 13:30:00+00:00,-1259.5824720620617,-1238.405897536993,-1251.0614572093814,0.012445512833228653,0.000376280745038579,5,True,252,1800,2,0,0 days 00:00:00.722905,DAX
222,2020-05-20 13:30:00+00:00,-1241.2714027197237,-1220.094828194655,-1232.7503878670434,0.012541031860263408,0.00040497917788315496,5,True,252,1800,2,0,0 days 00:00:00.681665,DAX
223,2020-05-28 13:30:00+00:00,-1236.99044696587,-1215.8138724408013,-1228.4694321131897,0.012614416420672124,0.00041189785396703065,5,True,252,1800,2,0,0 days 00:00:00.812660,DAX
224,2020-06-04 13:30:00+00:00,-1232.864016473888,-1211.6874419488192,-1224.3430016212076,0.012757951338295182,0.00041870572648824034,5,True,252,1800,2,0,0 days 00:00:00.638637,DAX
225,2020-06-11 13:30:00+00:00,-1228.2119946058015,-1207.0354200807328,-1219.6909797531212,0.013038587093797453,0.0004283265139788809,5,True,252,1800,2,0,0 days 00:00:00.714618,DAX
226,2020-06-18 13:30:00+00:00,-1235.0457601035628,-1213.8691855784941,-1226.5247452508825,0.01282049211048678,0.00041505545527899306,5,True,252,1800,2,0,0 days 00:00:00.982577,DAX
227,2020-06-25 13:30:00+00:00,-1231.5362095420542,-1210.3596350169855,-1223.0151946893739,0.012971506196086953,0.00042085177519868186,5,True,252,1800,2,0,0 days 00:00:01.038239,DAX
228,2020-07-02 13:30:00+00:00,-1230.3264566503335,-1209.1498821252649,-1221.8054417976532,0.013062202073168253,0.00042284960148428376,5,True,252,1800,2,0,0 days 00:00:01.528099,DAX
229,2020-07-10 13:30:00+00:00,-1229.7440085928065,-1208.5674340677378,-1221.2229937401262,0.01316715942347166,0.0004238891184629907,5,True,252,1800,2,0,0 days 00:00:01.454997,DAX
