,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ma.L1.resid
58,2005-11-06 23:00:00+00:00,-1229.857038575276,-1215.7393222252304,-1224.1763620068225,0.01567202207978615,0.00043074294203524914,5,True,252,2000,1,1,0 days 00:00:00.206062,CL1,0.07261326628306237,0.08908769565434385
59,2005-11-13 23:00:00+00:00,-1237.903093523595,-1223.7853771735495,-1232.2224169551416,0.015286336673152344,0.0004171736372980929,5,True,252,2000,1,1,0 days 00:00:00.182251,CL1,0.05923103022394616,0.07394955443241513
60,2005-11-20 23:00:00+00:00,-1235.6955275212222,-1221.5778111711766,-1230.0148509527687,0.015427903555660023,0.0004209737327311801,5,True,252,2000,1,1,0 days 00:00:00.195026,CL1,0.05792093463679988,0.07153669112903464
61,2005-11-29 23:00:00+00:00,-1237.7040804846215,-1223.586364134576,-1232.023403916168,0.015352770590930593,0.00041848226658410995,5,True,252,2000,1,1,0 days 00:00:00.201026,CL1,0.02362869683722529,0.011357728638279198
62,2005-12-06 23:00:00+00:00,-1252.6168738656202,-1238.4991575155746,-1246.9361972971667,0.015103941673945142,0.0003937175655258581,5,True,252,2000,1,1,0 days 00:00:00.178878,CL1,0.054715712646767306,0.06880165183182649
63,2005-12-13 23:00:00+00:00,-1259.165083036412,-1245.0473666863663,-1253.4844064679585,0.014997322452795748,0.00038422565937454805,5,True,252,2000,1,1,0 days 00:00:00.326759,CL1,0.0228412482277699,0.01064988784509859
64,2005-12-20 23:00:00+00:00,-1268.7866505721581,-1254.6689342221125,-1263.1059740037047,0.014640841224617982,0.00036933662084773065,5,True,252,2000,1,1,0 days 00:00:00.156469,CL1,0.05377623243945044,0.06589189320249712
65,2005-12-28 23:00:00+00:00,-1284.5137528184255,-1270.3960364683799,-1278.833076249972,0.01431656162959775,0.00034690150758088736,5,True,252,2000,1,1,0 days 00:00:00.187616,CL1,0.08645774153972512,0.10338778809533913
66,2006-01-05 23:00:00+00:00,-1296.765765004413,-1282.6480486543674,-1291.0850884359595,0.01400585972851628,0.00033039351961509916,5,True,252,2000,1,1,0 days 00:00:00.352262,CL1,0.07424527850321748,0.08847395924601853
67,2006-01-12 23:00:00+00:00,-1305.7521857985112,-1291.6344694484656,-1300.0715092300577,0.013760386919087852,0.0003187344377300319,5,True,252,2000,1,1,0 days 00:00:00.156738,CL1,0.08721338623483771,0.10425984892898417
