,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ma.L1.close
263,2019-04-21 00:00:00+00:00,-995.569937318891,-981.4522209688453,-989.8892607504374,0.019715690430052803,0.0010913399513612814,5,True,252,2500,1,1,0 days 00:00:00.120010,BTC,0.31863457094064496,0.329414489512537
264,2019-04-26 00:00:00+00:00,-992.9503068048538,-978.832590454808,-987.2696302364002,0.019912712420617578,0.0011027836449773046,5,True,252,2500,1,1,0 days 00:00:00.148625,BTC,0.3363364812904871,0.34534090613515417
265,2019-05-01 00:00:00+00:00,-995.0557027567833,-980.9379864067375,-989.3750261883297,0.019627818553957947,0.001093611668186815,5,True,252,2500,1,1,0 days 00:00:00.153363,BTC,0.3692700935570262,0.37706081872351244
266,2019-05-06 00:00:00+00:00,-994.3426538638583,-980.2249375138126,-988.6619772954048,0.019638131269673658,0.0010967038917901709,5,True,252,2500,1,1,0 days 00:00:00.148006,BTC,0.36740073644464555,0.3750433829662801
267,2019-05-11 00:00:00+00:00,-976.6605984803099,-962.5428821302642,-970.9799219118563,0.020330869653418748,0.0011764408511120326,5,True,252,2500,1,1,0 days 00:00:00.223098,BTC,0.1970561989794784,0.21740353147614513
268,2019-05-16 00:00:00+00:00,-973.2845985052955,-959.1668821552498,-967.603921936842,0.02051447990313838,0.0011922626914209773,5,True,252,2500,1,1,0 days 00:00:00.134363,BTC,0.35996855275294726,0.37968746969820627
269,2019-05-21 00:00:00+00:00,-957.7220004505529,-943.6042841005071,-952.0413238820993,0.0212026238581292,0.001268211466535874,5,True,252,2500,1,1,0 days 00:00:00.182871,BTC,0.41908130724820536,0.4367310322017506
270,2019-05-26 00:00:00+00:00,-951.211127459594,-937.0934111095482,-945.5304508911404,0.02173261359150363,0.0013014591076447228,5,True,252,2500,1,1,0 days 00:00:00.201035,BTC,0.40933138536165664,0.42982483659487764
271,2019-05-31 00:00:00+00:00,-951.4025747118231,-937.2848583617774,-945.7218981433696,0.021689870650994345,0.0013004093201485353,5,True,252,2500,1,1,0 days 00:00:00.124053,BTC,0.3978922899196847,0.4163681021911858
272,2019-06-05 00:00:00+00:00,-944.696861795495,-930.5791454454493,-939.0161852270414,0.02214856978329902,0.001335521388855699,5,True,252,2500,1,1,0 days 00:00:00.151919,BTC,0.4304448849473647,0.45086449360906994
273,2019-06-10 00:00:00+00:00,-942.4550492711277,-928.337332921082,-936.7743727026741,0.02239524708239901,0.0013474197718189634,5,True,252,2500,1,1,0 days 00:00:00.110992,BTC,0.396879571557857,0.41376671153570244
274,2019-06-15 00:00:00+00:00,-939.6992754323052,-925.5815590822594,-934.0185988638516,0.022690355312360768,0.0013622252241727662,5,True,252,2500,1,1,0 days 00:00:00.111619,BTC,0.4167715066978055,0.43844167678892804
275,2019-06-20 00:00:00+00:00,-940.0219070908287,-925.904190740783,-934.3412305223751,0.02287070370977629,0.0013604814278828524,5,True,252,2500,1,1,0 days 00:00:00.103003,BTC,0.37739994149146994,0.39552079621088443
276,2019-06-25 00:00:00+00:00,-933.2906724090739,-919.1729560590281,-927.6099958406203,0.023409844588859807,0.0013972134036351622,5,True,252,2500,1,1,0 days 00:00:00.195010,BTC,0.1260904469753208,0.14544130615529144
277,2019-06-30 00:00:00+00:00,-899.871942291641,-885.7542259415952,-894.1912657231874,0.025307422933399333,0.0015954398553776185,5,True,252,2500,1,1,0 days 00:00:00.100032,BTC,0.298124455508843,0.30746991277936453
278,2019-07-05 00:00:00+00:00,-889.9357998692768,-875.8180835192311,-884.2551233008232,0.026200593623822117,0.0016596059541677415,5,True,252,2500,1,1,0 days 00:00:00.109961,BTC,0.3275150186052511,0.33790188747483973
279,2019-07-10 00:00:00+00:00,-885.6710087815919,-871.5532924315462,-879.9903322131383,0.026756014665142814,0.0016879437871560492,5,True,252,2500,1,1,0 days 00:00:00.096178,BTC,0.34191036544007,0.3513582968595477
