,asofdate,pnl,strategy,positionType
495,2015-03-11 13:30:00+00:00,0.5296000000000003,arma_threshold_ma,short
500,2015-03-18 13:30:00+00:00,0.33999999999999986,arma_threshold_ma,short
505,2015-03-25 13:30:00+00:00,0.25,arma_threshold_ma,short
510,2015-04-01 13:30:00+00:00,-0.0,arma_threshold_ma,short
515,2015-04-09 13:30:00+00:00,0.0,arma_threshold_ma,no_position
520,2015-04-17 13:30:00+00:00,0.0,arma_threshold_ma,no_position
525,2015-04-24 13:30:00+00:00,-0.43099999999999916,arma_threshold_ma,short
530,2015-05-04 13:30:00+00:00,0.0,arma_threshold_ma,no_position
535,2015-05-11 13:30:00+00:00,0.0,arma_threshold_ma,no_position
540,2015-05-19 13:30:00+00:00,-0.3000000000000007,arma_threshold_ma,short
545,2015-05-27 13:30:00+00:00,0.2599999999999998,arma_threshold_ma,short
550,2015-06-03 13:30:00+00:00,0.7300000000000004,arma_threshold_ma,short
555,2015-06-10 13:30:00+00:00,-0.16000000000000014,arma_threshold_ma,short
560,2015-06-17 13:30:00+00:00,0.1499000000000006,arma_threshold_ma,short
565,2015-06-25 13:30:00+00:00,0.0,arma_threshold_ma,no_position
570,2015-07-02 13:30:00+00:00,0.0,arma_threshold_ma,no_position
575,2015-07-10 13:30:00+00:00,-0.11999999999999922,arma_threshold_ma,short
580,2015-07-20 13:30:00+00:00,0.0,arma_threshold_ma,no_position
585,2015-07-27 13:30:00+00:00,0.47000000000000064,arma_threshold_ma,short
590,2015-08-03 13:30:00+00:00,0.25,arma_threshold_ma,short
595,2015-08-10 13:30:00+00:00,0.41000000000000014,arma_threshold_ma,short
600,2015-08-17 13:30:00+00:00,0.0,arma_threshold_ma,no_position
605,2015-08-24 13:30:00+00:00,0.03139999999999965,arma_threshold_ma,short
610,2015-08-31 13:30:00+00:00,0.0,arma_threshold_ma,no_position
615,2015-09-08 13:30:00+00:00,0.0,arma_threshold_ma,no_position
620,2015-09-16 13:30:00+00:00,-0.16100000000000136,arma_threshold_ma,short
625,2015-09-23 13:30:00+00:00,-0.08009999999999984,arma_threshold_ma,short
630,2015-10-01 13:30:00+00:00,0.0,arma_threshold_ma,no_position
635,2015-10-08 13:30:00+00:00,0.0,arma_threshold_ma,no_position
