,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ar.L2.close,ma.L1.close,ma.L2.close
28,2001-10-26 13:00:00+00:00,-1358.7664677408602,-1337.5898932157916,-1350.24545288818,0.01209264819016551,0.00025476597153543457,0.9719775258855156,5,True,252,500,2,2,0 days 00:00:00.537929,palm_oil,0.02829310526224914,0.028296034057429184,0.02028972612717578,0.020289725083264185
29,2001-11-02 13:00:00+00:00,-1366.8112803545014,-1345.6347058294327,-1358.290265501821,0.01180736476888883,0.00024701756961617474,0.9594265897064633,5,True,252,500,2,2,0 days 00:00:01.240691,palm_oil,0.014455743084583007,0.010325127855730691,0.032202316575068196,0.02448622425638344
30,2001-11-09 13:00:00+00:00,-1375.1087294870986,-1353.93215496203,-1366.5877146344183,0.011638891972013461,0.00023897870070794982,0.9686899187579879,5,True,252,500,2,2,0 days 00:00:00.726558,palm_oil,0.02533221251944384,0.02722699766419437,0.016540275075536046,0.020361768736012635
31,2001-11-19 13:00:00+00:00,-1385.91477449694,-1364.7381999718714,-1377.3937596442597,0.011352305807629224,0.0002286879408428722,0.959004574081074,5,True,252,500,2,2,0 days 00:00:00.876596,palm_oil,0.016638699138465916,0.010296559626942389,0.023421995105391415,0.03116200706995391
32,2001-11-27 13:00:00+00:00,-1396.651797260025,-1375.4752227349563,-1388.1307824073447,0.011168246031899882,0.00021900552122522862,0.9562264399132143,5,True,252,500,2,2,0 days 00:00:01.000493,palm_oil,0.017236120195121486,0.009570149639339944,0.04520870337603853,0.09515719970695712
33,2001-12-04 13:00:00+00:00,-1406.2516760941635,-1385.0751015690948,-1397.7306612414832,0.010924864581339334,0.00021071936517067712,0.9627610675659549,5,True,252,500,2,2,0 days 00:00:00.794954,palm_oil,0.01593697619832596,0.009320693924537096,0.022304781785677814,0.03624780380821528
34,2001-12-11 13:00:00+00:00,-1409.7059771682793,-1388.5294026432107,-1401.184962315599,0.010927788127882495,0.0002076823742491284,0.9898421905810875,5,True,252,500,2,2,0 days 00:00:00.706436,palm_oil,0.03525712295722877,0.023520230072824444,,
35,2001-12-21 13:00:00+00:00,-1415.582181544618,-1394.4056070195493,-1407.0611666919376,0.010794243322697551,0.0002028957069998151,0.978615377651033,5,True,252,500,2,2,0 days 00:00:00.578680,palm_oil,0.3318502845377843,0.36718244801675237,0.28996430895867187,0.43138824366436607
36,2002-01-01 13:00:00+00:00,-1424.2903294531566,-1403.113754928088,-1415.7693146004763,0.010520448759716469,0.0001961194698787647,0.9550986690530089,5,True,252,500,2,2,0 days 00:00:00.611004,palm_oil,0.03752505771527483,0.03403700151991676,0.01708192957706958,0.01699796440914199
37,2002-01-08 13:00:00+00:00,-1426.4739846028406,-1405.297410077772,-1417.9529697501603,0.010531117263034321,0.0001943051781101796,0.9718713040138737,5,True,252,500,2,2,0 days 00:00:00.561598,palm_oil,0.26921955195986236,0.21224811682996172,0.2880621083285196,0.2098456274367999
38,2002-01-15 13:00:00+00:00,-1430.9988123170488,-1409.8222377919801,-1422.4777974643685,0.010417421716901347,0.00019074034463256135,0.9684447879234463,5,True,252,500,2,2,0 days 00:00:01.756132,palm_oil,0.010511830211193071,0.003916987247458997,0.04261482240031363,0.08247233474344068
39,2002-01-22 13:00:00+00:00,-1438.2625230052963,-1417.0859484802277,-1429.741508152616,0.010242258960135916,0.00018528499790257733,0.958301285217546,5,True,252,500,2,2,0 days 00:00:00.891259,palm_oil,0.0352037894136713,0.028881206409649245,0.015264299238107959,0.03055841188025126
40,2002-01-29 13:00:00+00:00,-1443.7141201042973,-1422.5375455792287,-1435.193105251617,0.010012714659987208,0.00018123056887101494,0.9524752498537159,5,True,252,500,2,2,0 days 00:00:00.603600,palm_oil,0.04141644962361622,0.04611064936637745,0.031247717314533748,0.032452124095542496
41,2002-02-06 13:00:00+00:00,-1445.0345812868763,-1423.8580067618077,-1436.513566434196,0.009910853742690478,0.0001804170224050917,0.9609573675221297,5,True,252,500,2,2,0 days 00:00:00.512226,palm_oil,0.0288758803608406,0.026128697047123943,0.013568479382733967,
42,2002-02-18 13:00:00+00:00,-1448.285547337558,-1427.1089728124894,-1439.7645324848777,0.009878809796360955,0.0001781636069527909,0.9697464816621535,5,True,252,500,2,2,0 days 00:00:00.521059,palm_oil,0.2529398459342948,0.2571204856505604,0.25707499529296196,0.2900479694657226
43,2002-02-25 13:00:00+00:00,-1439.0920418385003,-1417.9154673134317,-1430.57102698582,0.010019471814629454,0.00018479770442135225,0.9752072538243499,5,True,252,500,2,2,0 days 00:00:00.480140,palm_oil,0.2859281283211858,0.25509328549355875,0.2904516151555508,0.27587008366732385
44,2002-03-04 13:00:00+00:00,-1438.3159720290096,-1417.139397503941,-1429.7949571763293,0.009991585444281007,0.00018535046342139987,0.9755854812887813,5,True,252,500,2,2,0 days 00:00:00.456330,palm_oil,0.42130760483464025,0.35650401916796615,0.4057198126416935,0.3381311753820564
45,2002-03-11 13:00:00+00:00,-1435.4206706305267,-1414.244096105458,-1426.8996557778464,0.010176504832401118,0.00018749871840765942,0.9728404878585419,5,True,252,500,2,2,0 days 00:00:00.613132,palm_oil,0.4143195944662086,0.20344064831173647,0.45453506270636995,0.2107139430787517
46,2002-03-19 13:00:00+00:00,-1429.8550259736407,-1408.678451448572,-1421.3340111209604,0.010170172173035556,0.00019172299466998564,0.9561017909553364,5,True,252,500,2,2,0 days 00:00:01.136178,palm_oil,0.03393526187284379,0.0328146783082144,0.01663190701135591,0.020012201080694476
47,2002-03-26 13:00:00+00:00,-1430.3287959795884,-1409.1522214545198,-1421.8077811269081,0.01018652405311848,0.000191395918997722,0.949229425315744,5,True,252,500,2,2,0 days 00:00:00.820403,palm_oil,0.03360833779110999,0.03201855252081994,0.01740848778008183,0.020775126822630836
48,2002-04-02 13:00:00+00:00,-1402.8913876956103,-1381.7148131705417,-1394.37037284293,0.010756164456167377,0.00019810124392817722,0.9603010164827118,5,True,252,500,2,2,0 days 00:00:00.374247,palm_oil,,,,0.00432294175738991
49,2002-04-09 13:00:00+00:00,-1416.1903740812986,-1395.01379955623,-1407.6693592286183,0.010637745083364703,0.0002023523190270507,0.9751258310723752,5,True,252,500,2,2,0 days 00:00:00.555893,palm_oil,0.3573981121054317,0.3028170940389668,0.3386979969256245,0.28023107684527104
50,2002-04-16 13:00:00+00:00,-1419.3388611018586,-1398.16228657679,-1410.8178462491783,0.010533023006756343,0.0002003750979814673,0.9582938829534547,5,True,252,500,2,2,0 days 00:00:00.934188,palm_oil,0.0328656945254062,0.03141009505904708,0.04252002044916064,0.06288541468700305
51,2002-04-23 13:00:00+00:00,-1417.9630761359972,-1396.7865016109286,-1409.442061283317,0.010675916828546832,0.0002009729486733285,0.9758638431873503,5,True,252,500,2,2,0 days 00:00:00.625732,palm_oil,0.41490625837374695,0.22928383722330334,0.46722535598719106,0.25193818812137253
52,2002-05-02 13:00:00+00:00,-1419.5730199390696,-1398.396445414001,-1411.0520050863893,0.010513064862383893,0.00019980795633231944,0.9659961717112372,5,True,252,500,2,2,0 days 00:00:01.201994,palm_oil,0.10397288168593125,0.09953733234705608,0.07225640234899486,0.07756558041229286
53,2002-05-09 13:00:00+00:00,-1419.3909530500287,-1398.21437852496,-1410.8699381973483,0.010481435673312252,0.00020048712527846635,0.977292082147709,5,True,252,500,2,2,0 days 00:00:00.484225,palm_oil,0.016524144067445328,0.013526706660584736,0.013930967401594507,0.01959208321784356
54,2002-05-16 13:00:00+00:00,-1428.0016739298962,-1406.8250994048276,-1419.480659077216,0.010587057703392284,0.000194455570271355,0.9436684551046908,5,True,252,500,2,2,0 days 00:00:00.693752,palm_oil,0.006081988992636766,0.004801638341107576,0.01639898040251784,0.017976131091025666
55,2002-05-23 13:00:00+00:00,-1432.1373050223165,-1410.9607304972478,-1423.6162901696362,0.010440171643538436,0.00019127133737658855,0.9471592688053005,5,True,252,500,2,2,0 days 00:00:01.763109,palm_oil,0.006118791260519328,0.005503660977132782,0.016616764632783436,0.016979335194848833
56,2002-05-31 13:00:00+00:00,-1436.7717069446217,-1415.595132419553,-1428.2506920919413,0.0102899799912713,0.00018779187451814825,0.9519929630872357,5,True,252,500,2,2,0 days 00:00:00.958602,palm_oil,0.0062877035651821645,0.0064729337873105555,0.017971760196393755,0.018471297232884275
57,2002-06-07 13:00:00+00:00,-1440.6866768622472,-1419.5101023371785,-1432.1656620095669,0.01015136186274524,0.00018379322635396814,0.9718758591043081,5,True,252,500,2,2,0 days 00:00:00.597072,palm_oil,0.20412843104253656,0.16988124122404757,0.2369588768552226,0.19522843286285405
58,2002-06-14 13:00:00+00:00,-1457.164794377938,-1435.9882198528694,-1448.6437795252577,0.009923636240603915,0.00017207684516745106,0.9738497137621995,5,True,252,500,2,2,0 days 00:00:00.744070,palm_oil,0.1197188852244186,0.16528037259963502,0.092041053466306,0.12913186274569635
59,2002-06-21 13:00:00+00:00,-1464.6814276604673,-1443.5048531353987,-1456.160412807787,0.009744615995107293,0.00016739212760580655,0.9683666978418303,5,True,252,500,2,2,0 days 00:00:01.392385,palm_oil,0.0070690254089293405,0.0008994794010728867,0.013339573081895668,0.013198650091751968
60,2002-06-28 13:00:00+00:00,-1462.2361320797477,-1441.059557554679,-1453.7151172270674,0.009706720655652281,0.00016871040816738008,0.9877834307422588,5,True,252,500,2,2,0 days 00:00:02.221516,palm_oil,0.010992177409514846,,0.006348119144862911,
61,2002-07-05 13:00:00+00:00,-1458.4261930058142,-1437.2496184807455,-1449.9051781531339,0.009686487353325949,0.00017118858581081984,0.9870180479544175,5,True,252,500,2,2,0 days 00:00:01.971088,palm_oil,0.6130129421619127,0.6074795210777832,0.6064937637595098,0.606433215809751
62,2002-07-12 13:00:00+00:00,-1483.2424829116735,-1462.0659083866049,-1474.7214680589932,0.009563287777104915,0.00015512411991384833,0.9984346644436215,5,True,252,500,2,2,0 days 00:00:00.789445,palm_oil,0.34906601668217724,0.2905345293297795,0.31643920571967854,0.26323871783019337
63,2002-07-19 13:00:00+00:00,-389.9023890289392,-368.72581450387065,-381.3813741762589,0.08259227978232549,0.01037549319831821,69.15645299139294,5,True,252,500,2,2,0 days 00:00:00.365185,palm_oil,7.7861475022685e-08,1.1639072341596033e-05,0.00021291667987276055,0.0003570100963722245
64,2002-07-26 13:00:00+00:00,-1492.0229275374118,-1470.8463530123431,-1483.5019126847315,0.009388133566083787,0.00014981870376328644,0.9837521014097661,5,True,252,500,2,2,0 days 00:00:00.989590,palm_oil,0.025340999044476786,0.025424688037524124,0.028074696755103205,0.03460422373344894
