Date,asofdate,pointForecast,Close,forecastday,product_name,MA_50,MA_diff_50
2020-01-27 00:00:00-05:00,2020-01-28 00:00:00-05:00,15.031323855401183,14.93000030517578,2,SOYB,15.388400020599365,-0.01119998931884858
2020-01-28 00:00:00-05:00,2020-01-29 00:00:00-05:00,15.035554150389858,14.949999809265137,3,SOYB,15.378000011444092,-0.010400009155272727
2020-01-29 00:00:00-05:00,2020-01-30 00:00:00-05:00,15.033432298858006,14.899999618530272,4,SOYB,15.367000007629395,-0.011000003814697124
2020-01-30 00:00:00-05:00,2020-01-31 00:00:00-05:00,15.034496475201312,14.670000076293944,5,SOYB,15.350800018310547,-0.016199989318847585
2020-01-31 00:00:00-05:00,2020-02-03 00:00:00-05:00,14.57338538194977,14.579999923706056,1,SOYB,15.335800018310547,-0.015000000000000568
2020-02-03 00:00:00-05:00,2020-02-04 00:00:00-05:00,14.572147570411925,14.609999656677246,2,SOYB,15.321000003814698,-0.014800014495849112
2020-02-04 00:00:00-05:00,2020-02-05 00:00:00-05:00,14.572678366107931,14.710000038146973,3,SOYB,15.308600006103516,-0.012399997711181499
2020-02-05 00:00:00-05:00,2020-02-06 00:00:00-05:00,14.572450743543612,14.720000267028809,4,SOYB,15.298000011444092,-0.010599994659424183
2020-02-06 00:00:00-05:00,2020-02-07 00:00:00-05:00,14.57254835409715,14.760000228881836,5,SOYB,15.289600009918212,-0.00840000152587983
2020-02-07 00:00:00-05:00,2020-02-10 00:00:00-05:00,14.725661088568849,14.729999542236328,1,SOYB,15.280799999237061,-0.008800010681150994
2020-02-10 00:00:00-05:00,2020-02-11 00:00:00-05:00,14.722069567607893,14.760000228881836,2,SOYB,15.275400009155273,-0.00539999008178782
2020-02-11 00:00:00-05:00,2020-02-12 00:00:00-05:00,14.723578787302465,14.729999542236328,3,SOYB,15.270200004577637,-0.0052000045776363635
2020-02-12 00:00:00-05:00,2020-02-13 00:00:00-05:00,14.722944523194146,14.81999969482422,4,SOYB,15.268600006103515,-0.0015999984741217332
2020-02-13 00:00:00-05:00,2020-02-14 00:00:00-05:00,14.723211067543748,14.880000114440918,5,SOYB,15.268800010681153,0.00020000457763735824
2020-02-14 00:00:00-05:00,2020-02-18 00:00:00-05:00,14.826907867423458,14.829999923706056,1,SOYB,15.268600006103515,-0.00020000457763735824
2020-02-18 00:00:00-05:00,2020-02-19 00:00:00-05:00,14.82269167441944,14.770000457763672,2,SOYB,15.265400009155274,-0.00319999694824169
2020-02-19 00:00:00-05:00,2020-02-20 00:00:00-05:00,14.824594191481857,14.800000190734863,3,SOYB,15.26140001296997,-0.003999996185303445
2020-02-20 00:00:00-05:00,2020-02-21 00:00:00-05:00,14.823735601496509,14.760000228881836,4,SOYB,15.254600009918214,-0.00680000305175632
2020-02-21 00:00:00-05:00,2020-02-24 00:00:00-05:00,14.824123056151569,14.720000267028809,5,SOYB,15.244600009918212,-0.010000000000001563
2020-02-24 00:00:00-05:00,2020-02-25 00:00:00-05:00,14.504011444337301,14.5,1,SOYB,15.229600009918213,-0.014999999999998792
2020-02-25 00:00:00-05:00,2020-02-26 00:00:00-05:00,14.487584332301909,14.579999923706056,2,SOYB,15.218400001525879,-0.011200008392334482
2020-02-26 00:00:00-05:00,2020-02-27 00:00:00-05:00,14.494760107023117,14.640000343322754,3,SOYB,15.206600017547608,-0.0117999839782712
2020-02-27 00:00:00-05:00,2020-02-28 00:00:00-05:00,14.491624111164448,14.649999618530272,4,SOYB,15.192600002288819,-0.014000015258789134
2020-02-28 00:00:00-05:00,2020-03-02 00:00:00-05:00,14.492994346527496,14.56999969482422,5,SOYB,15.173199996948242,-0.019400005340576953
2020-03-02 00:00:00-05:00,2020-03-03 00:00:00-05:00,14.739778752434079,14.760000228881836,1,SOYB,15.155400009155274,-0.017799987792967542
2020-03-03 00:00:00-05:00,2020-03-04 00:00:00-05:00,14.761775213297561,14.779999732971191,2,SOYB,15.138400001525879,-0.017000007629395242
2020-03-04 00:00:00-05:00,2020-03-05 00:00:00-05:00,14.750463757638059,14.800000190734863,3,SOYB,15.123199996948243,-0.01520000457763615
2020-03-05 00:00:00-05:00,2020-03-06 00:00:00-05:00,14.756277368549833,14.649999618530272,4,SOYB,15.104799995422363,-0.018400001525879617
2020-03-06 00:00:00-05:00,2020-03-09 00:00:00-04:00,14.753288575097292,14.529999732971191,5,SOYB,15.082599983215331,-0.022200012207031605
2020-03-09 00:00:00-04:00,2020-03-10 00:00:00-04:00,14.26553050518264,14.260000228881836,1,SOYB,15.053799991607667,-0.028799991607664666
2020-03-10 00:00:00-04:00,2020-03-11 00:00:00-04:00,14.247323362338124,14.34000015258789,2,SOYB,15.025399990081787,-0.028400001525879404
2020-03-11 00:00:00-04:00,2020-03-12 00:00:00-04:00,14.256526534303205,14.260000228881836,3,SOYB,14.996800003051758,-0.028599987030029084
2020-03-12 00:00:00-04:00,2020-03-13 00:00:00-04:00,14.251872391410897,13.9399995803833,4,SOYB,14.95939998626709,-0.037400016784667756
2020-03-13 00:00:00-04:00,2020-03-16 00:00:00-04:00,14.25422547589331,13.9399995803833,5,SOYB,14.921599979400634,-0.03780000686645657
2020-03-16 00:00:00-04:00,2020-03-17 00:00:00-04:00,13.579461314941211,13.56999969482422,1,SOYB,14.875599975585937,-0.046000003814697266
2020-03-17 00:00:00-04:00,2020-03-18 00:00:00-04:00,13.555682606448553,13.449999809265137,2,SOYB,14.831399974822999,-0.044200000762938174
2020-03-18 00:00:00-04:00,2020-03-19 00:00:00-04:00,13.561932127446562,13.579999923706056,3,SOYB,14.78879997253418,-0.04260000228881822
2020-03-19 00:00:00-04:00,2020-03-20 00:00:00-04:00,13.560288287606385,13.619999885559082,4,SOYB,14.747799968719482,-0.04100000381469826
2020-03-20 00:00:00-04:00,2020-03-23 00:00:00-04:00,13.56072058150937,13.850000381469728,5,SOYB,14.7103999710083,-0.037399997711181854
2020-03-23 00:00:00-04:00,2020-03-24 00:00:00-04:00,14.018146073385338,14.029999732971191,1,SOYB,14.67799997329712,-0.03239999771118107
2020-03-24 00:00:00-04:00,2020-03-25 00:00:00-04:00,14.022352166865598,14.050000190734863,2,SOYB,14.64439998626709,-0.033599987030029865
2020-03-25 00:00:00-04:00,2020-03-26 00:00:00-04:00,14.022463827621303,14.119999885559082,3,SOYB,14.614199981689453,-0.03020000457763672
2020-03-26 00:00:00-04:00,2020-03-27 00:00:00-04:00,14.02246679147736,14.109999656677246,4,SOYB,14.582999973297119,-0.031200008392334055
2020-03-27 00:00:00-04:00,2020-03-30 00:00:00-04:00,14.022466870147863,14.109999656677246,5,SOYB,14.555999965667725,-0.027000007629393252
2020-03-30 00:00:00-04:00,2020-03-31 00:00:00-04:00,14.07425510254411,14.079999923706056,1,SOYB,14.52979995727539,-0.02620000839233505
2020-03-31 00:00:00-04:00,2020-04-01 00:00:00-04:00,14.073737512931078,14.050000190734863,2,SOYB,14.502199954986573,-0.02760000228881765
2020-04-01 00:00:00-04:00,2020-04-02 00:00:00-04:00,14.073698315659954,13.75,3,SOYB,14.472199954986571,-0.030000000000001137
2020-04-02 00:00:00-04:00,2020-04-03 00:00:00-04:00,14.073695347180456,13.8100004196167,4,SOYB,14.44399995803833,-0.028199996948242045
2020-04-03 00:00:00-04:00,2020-04-06 00:00:00-04:00,14.07369512237188,13.729999542236328,5,SOYB,14.415599956512452,-0.028400001525877627
2020-04-06 00:00:00-04:00,2020-04-07 00:00:00-04:00,13.877177973139911,13.890000343322754,1,SOYB,14.392599964141846,-0.022999992370605682
