,as_of_date,PnL
10358,2015-01-07 09:15:00+00:00,0
10359,2015-01-08 09:15:00+00:00,0
10360,2015-01-09 09:15:00+00:00,0
10361,2015-01-12 09:15:00+00:00,0
10362,2015-01-13 09:15:00+00:00,0
10363,2015-01-14 09:15:00+00:00,0
10364,2015-01-15 09:15:00+00:00,0
10365,2015-01-16 09:15:00+00:00,0
10366,2015-01-20 09:15:00+00:00,0
10367,2015-01-21 09:15:00+00:00,0
10368,2015-01-22 09:15:00+00:00,0
10369,2015-01-23 09:15:00+00:00,0
10370,2015-01-26 09:15:00+00:00,0
10371,2015-01-27 09:15:00+00:00,0
10372,2015-01-28 09:15:00+00:00,0
10373,2015-01-29 09:15:00+00:00,0
10374,2015-01-30 09:15:00+00:00,0
10375,2015-02-02 09:15:00+00:00,0
10376,2015-02-03 09:15:00+00:00,0
10377,2015-02-04 09:15:00+00:00,0
10378,2015-02-05 09:15:00+00:00,0
10379,2015-02-06 09:15:00+00:00,0
10380,2015-02-09 09:15:00+00:00,0
10381,2015-02-10 09:15:00+00:00,0
10382,2015-02-11 09:15:00+00:00,0
10383,2015-02-12 09:15:00+00:00,0
10384,2015-02-13 09:15:00+00:00,0
10385,2015-02-17 09:15:00+00:00,0
10386,2015-02-18 09:15:00+00:00,0
10387,2015-02-19 09:15:00+00:00,0
10388,2015-02-20 09:15:00+00:00,0
10389,2015-02-23 09:15:00+00:00,0
10390,2015-02-24 09:15:00+00:00,0
10391,2015-02-25 09:15:00+00:00,0
10392,2015-02-26 09:15:00+00:00,0
10393,2015-02-27 09:15:00+00:00,0
10394,2015-03-02 09:15:00+00:00,0
10395,2015-03-03 09:15:00+00:00,0
10396,2015-03-04 09:15:00+00:00,0
10397,2015-03-05 09:15:00+00:00,0
10398,2015-03-06 09:15:00+00:00,0
10399,2015-03-09 08:15:00+00:00,0
10400,2015-03-10 08:15:00+00:00,0
10401,2015-03-11 08:15:00+00:00,0
10402,2015-03-12 08:15:00+00:00,0
10403,2015-03-13 08:15:00+00:00,0
10404,2015-03-16 08:15:00+00:00,0
10405,2015-03-17 08:15:00+00:00,0
10406,2015-03-18 08:15:00+00:00,0
10407,2015-03-19 08:15:00+00:00,0
10408,2015-03-20 08:15:00+00:00,0
10409,2015-03-23 08:15:00+00:00,0
10410,2015-03-24 08:15:00+00:00,0
10411,2015-03-25 08:15:00+00:00,0
10412,2015-03-26 08:15:00+00:00,0
10413,2015-03-27 08:15:00+00:00,0
10414,2015-03-30 08:15:00+00:00,0
10415,2015-03-31 08:15:00+00:00,0
10416,2015-04-01 08:15:00+00:00,0
10417,2015-04-02 08:15:00+00:00,0
10418,2015-04-06 08:15:00+00:00,0
10419,2015-04-07 08:15:00+00:00,0
10420,2015-04-08 08:15:00+00:00,0
10421,2015-04-09 08:15:00+00:00,0
10422,2015-04-10 08:15:00+00:00,0
10423,2015-04-13 08:15:00+00:00,0
10424,2015-04-14 08:15:00+00:00,0
10425,2015-04-15 08:15:00+00:00,0
10426,2015-04-16 08:15:00+00:00,0
10427,2015-04-17 08:15:00+00:00,0
10428,2015-04-20 08:15:00+00:00,0
10429,2015-04-21 08:15:00+00:00,0
10430,2015-04-22 08:15:00+00:00,0
10431,2015-04-23 08:15:00+00:00,0
10432,2015-04-24 08:15:00+00:00,0
10433,2015-04-27 08:15:00+00:00,0
10434,2015-04-28 08:15:00+00:00,0
10435,2015-04-29 08:15:00+00:00,0
10436,2015-04-30 08:15:00+00:00,0
10437,2015-05-01 08:15:00+00:00,0
10438,2015-05-04 08:15:00+00:00,0
10439,2015-05-05 08:15:00+00:00,0
10440,2015-05-06 08:15:00+00:00,0
10441,2015-05-07 08:15:00+00:00,0
10442,2015-05-08 08:15:00+00:00,0
10443,2015-05-11 08:15:00+00:00,0
10444,2015-05-12 08:15:00+00:00,0
10445,2015-05-13 08:15:00+00:00,0
10446,2015-05-14 08:15:00+00:00,0
10447,2015-05-15 08:15:00+00:00,0
10448,2015-05-18 08:15:00+00:00,0
10449,2015-05-19 08:15:00+00:00,0
10450,2015-05-20 08:15:00+00:00,0
10451,2015-05-21 08:15:00+00:00,0
10452,2015-05-22 08:15:00+00:00,0
10453,2015-05-26 08:15:00+00:00,0
10454,2015-05-27 08:15:00+00:00,0
10455,2015-05-28 08:15:00+00:00,0
10456,2015-05-29 08:15:00+00:00,0
10457,2015-06-01 08:15:00+00:00,0
10458,2015-06-02 08:15:00+00:00,0
10459,2015-06-03 08:15:00+00:00,0
10460,2015-06-04 08:15:00+00:00,0
10461,2015-06-05 08:15:00+00:00,0
10462,2015-06-08 08:15:00+00:00,0
10463,2015-06-09 08:15:00+00:00,0
10464,2015-06-10 08:15:00+00:00,0
10465,2015-06-11 08:15:00+00:00,0
10466,2015-06-12 08:15:00+00:00,0
10467,2015-06-15 08:15:00+00:00,0
10468,2015-06-16 08:15:00+00:00,0
10469,2015-06-17 08:15:00+00:00,0
10470,2015-06-18 08:15:00+00:00,0
10471,2015-06-19 08:15:00+00:00,0
10472,2015-06-22 08:15:00+00:00,0
10473,2015-06-23 08:15:00+00:00,0
10474,2015-06-24 08:15:00+00:00,0
10475,2015-06-25 08:15:00+00:00,0
10476,2015-06-26 08:15:00+00:00,0
10477,2015-06-29 08:15:00+00:00,0
10478,2015-06-30 08:15:00+00:00,0
10479,2015-07-01 08:15:00+00:00,0
10480,2015-07-02 08:15:00+00:00,0
10481,2015-07-06 08:15:00+00:00,0
10482,2015-07-07 08:15:00+00:00,0
10483,2015-07-08 08:15:00+00:00,0
10484,2015-07-09 08:15:00+00:00,0
10485,2015-07-10 08:15:00+00:00,0
10486,2015-07-13 08:15:00+00:00,0
10487,2015-07-14 08:15:00+00:00,0
10488,2015-07-15 08:15:00+00:00,0
10489,2015-07-16 08:15:00+00:00,0
10490,2015-07-17 08:15:00+00:00,0
10491,2015-07-20 08:15:00+00:00,0
10492,2015-07-21 08:15:00+00:00,0
10493,2015-07-22 08:15:00+00:00,0
10494,2015-07-23 08:15:00+00:00,0
10495,2015-07-24 08:15:00+00:00,0
10496,2015-07-27 08:15:00+00:00,0
10497,2015-07-28 08:15:00+00:00,0
10498,2015-07-29 08:15:00+00:00,0
10499,2015-07-30 08:15:00+00:00,0
10500,2015-07-31 08:15:00+00:00,0
10501,2015-08-03 08:15:00+00:00,0
10502,2015-08-04 08:15:00+00:00,0
10503,2015-08-05 08:15:00+00:00,0
10504,2015-08-06 08:15:00+00:00,0
10505,2015-08-07 08:15:00+00:00,0
10506,2015-08-10 08:15:00+00:00,0
10507,2015-08-11 08:15:00+00:00,0
10508,2015-08-12 08:15:00+00:00,0
10509,2015-08-13 08:15:00+00:00,0
10510,2015-08-14 08:15:00+00:00,0
10511,2015-08-17 08:15:00+00:00,0
10512,2015-08-18 08:15:00+00:00,0
10513,2015-08-19 08:15:00+00:00,0
10514,2015-08-20 08:15:00+00:00,0
10515,2015-08-21 08:15:00+00:00,0
10516,2015-08-24 08:15:00+00:00,0
10517,2015-08-25 08:15:00+00:00,0
10518,2015-08-26 08:15:00+00:00,0
10519,2015-08-27 08:15:00+00:00,0
10520,2015-08-28 08:15:00+00:00,0
10521,2015-08-31 08:15:00+00:00,0
10522,2015-09-01 08:15:00+00:00,0
10523,2015-09-02 08:15:00+00:00,0
10524,2015-09-03 08:15:00+00:00,0
10525,2015-09-04 08:15:00+00:00,0
10526,2015-09-08 08:15:00+00:00,0
10527,2015-09-09 08:15:00+00:00,0
10528,2015-09-10 08:15:00+00:00,0
10529,2015-09-11 08:15:00+00:00,0
10530,2015-09-14 08:15:00+00:00,0
10531,2015-09-15 08:15:00+00:00,0
10532,2015-09-16 08:15:00+00:00,0
10533,2015-09-17 08:15:00+00:00,0
10534,2015-09-18 08:15:00+00:00,0
10535,2015-09-21 08:15:00+00:00,0
10536,2015-09-22 08:15:00+00:00,0
10537,2015-09-23 08:15:00+00:00,0
10538,2015-09-24 08:15:00+00:00,0
10539,2015-09-25 08:15:00+00:00,0
10540,2015-09-28 08:15:00+00:00,0
10541,2015-09-29 08:15:00+00:00,0
10542,2015-09-30 08:15:00+00:00,0
